,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,478.65,492.7,408.5,14.050000000000011,1,2024-12-11,2024-12-12,1
1,398.5,420.0,385.0,13.5,0,2024-11-25,2024-11-27,1
2,425.6,550.0,227.3,124.39999999999998,1,2024-12-12,2024-12-13,1
3,550.0,535.0,437.8,112.19999999999999,0,2024-12-13,2024-12-16,1
4,464.8,448.35,271.6,-16.44999999999999,1,2024-12-16,2024-12-17,0
5,280.3,301.5,186.75,21.19999999999999,1,2024-12-17,2024-12-18,1
6,200.0,135.1,101.05,98.95,0,2024-12-18,2024-12-19,1
7,119.9,151.05,44.75,75.15,0,2024-12-19,2024-12-20,1
8,49.85,66.25,18.95,30.900000000000002,0,2024-12-20,2024-12-23,1
9,23.5,25.8,11.45,12.05,0,2024-12-23,2024-12-24,1
10,12.5,17.9,8.4,5.399999999999999,1,2024-12-24,2024-12-26,1
11,9.6,13.1,4.1,5.5,0,2024-12-26,2024-12-27,1
12,4.6,6.0,1.7,2.8999999999999995,0,2024-12-27,2024-12-30,1
13,1.75,2.15,1.5,0.25,0,2024-12-30,2024-12-31,1
14,1.7,1.85,0.9,0.7999999999999999,0,2024-12-31,2025-01-01,1
