,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,97.45,113.75,85.7,16.299999999999997,1,2024-12-11,2024-12-12,1
1,106.5,247.25,65.85,140.75,1,2024-12-12,2024-12-13,1
2,65.85,112.0,74.2,-8.350000000000009,0,2024-12-13,2024-12-16,0
3,94.55,168.5,101.9,73.95,1,2024-12-16,2024-12-17,1
4,161.45,214.85,141.4,53.400000000000006,1,2024-12-17,2024-12-18,1
5,186.4,353.35,269.2,-82.79999999999998,0,2024-12-18,2024-12-19,0
6,294.15,558.25,262.5,31.649999999999977,0,2024-12-19,2024-12-20,1
7,523.5,550.65,286.1,237.39999999999998,0,2024-12-20,2024-12-23,1
8,358.05,394.5,284.0,74.05000000000001,0,2024-12-23,2024-12-24,1
9,344.05,447.3,271.0,103.25,1,2024-12-24,2024-12-26,1
10,354.0,324.15,208.6,145.4,0,2024-12-26,2024-12-27,1
11,269.3,475.95,219.05,50.25,0,2024-12-27,2024-12-30,1
12,409.45,625.75,372.75,36.69999999999999,0,2024-12-30,2024-12-31,1
13,406.2,515.0,273.25,132.95,0,2024-12-31,2025-01-01,1
