date,sen_day_break
01-10-2024 00:00,0
03-10-2024 00:00,0
04-10-2024 00:00,1
07-10-2024 00:00,0
08-10-2024 00:00,0
09-10-2024 00:00,0
10-10-2024 00:00,0
11-10-2024 00:00,1
14-10-2024 00:00,0
15-10-2024 00:00,0
16-10-2024 00:00,0
17-10-2024 00:00,1
18-10-2024 00:00,0
21-10-2024 00:00,1
22-10-2024 00:00,0
23-10-2024 00:00,0
25-10-2024 00:00,1
28-10-2024 00:00,1
29-10-2024 00:00,1
30-10-2024 00:00,1
31-10-2024 00:00,0
04-11-2024 00:00,0
05-11-2024 00:00,1
06-11-2024 00:00,0
07-11-2024 00:00,1
08-11-2024 00:00,0
11-11-2024 00:00,1
12-11-2024 00:00,1
13-11-2024 00:00,1
14-11-2024 00:00,0
18-11-2024 00:00,1
19-11-2024 00:00,1
21-11-2024 00:00,0
22-11-2024 00:00,1
25-11-2024 00:00,0
26-11-2024 00:00,1
02-12-2024 00:00,0
03-12-2024 00:00,0
04-12-2024 00:00,1
05-12-2024 00:00,1
06-12-2024 00:00,1
09-12-2024 00:00,0
10-12-2024 00:00,1
11-12-2024 00:00,1
12-12-2024 00:00,1
13-12-2024 00:00,0
16-12-2024 00:00,1
17-12-2024 00:00,1
18-12-2024 00:00,0
19-12-2024 00:00,0
20-12-2024 00:00,0
23-12-2024 00:00,0
24-12-2024 00:00,1
26-12-2024 00:00,0
27-12-2024 00:00,0
30-12-2024 00:00,0
31-12-2024 00:00,0
01-01-2025 00:00,0
02-01-2025 00:00,0
03-01-2025 00:00,1
06-01-2025 00:00,0
07-01-2025 00:00,1
08-01-2025 00:00,1
09-01-2025 00:00,0
